game_id,half,t_seconds,label,gameTime,labels_file
2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal,2,2174.0,Penalty,2 - 36:14,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal\Labels-v2.json
2015-11-29 - 18-00 Eibar 0 - 2 Real Madrid,2,2192.0,Penalty,2 - 36:32,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2015-2016\2015-11-29 - 18-00 Eibar 0 - 2 Real Madrid\Labels-v2.json
2016-03-02 - 23-00 Levante 1 - 3 Real Madrid,1,2016.0,Penalty,1 - 33:36,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2015-2016\2016-03-02 - 23-00 Levante 1 - 3 Real Madrid\Labels-v2.json
2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga,2,1285.0,Penalty,2 - 21:25,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2014-2015\2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga\Labels-v2.json
2016-12-12 - 23-00 AS Roma 1 - 0 AC Milan,1,1607.0,Penalty,1 - 26:47,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2016-2017\2016-12-12 - 23-00 AS Roma 1 - 0 AC Milan\Labels-v2.json
2016-12-22 - 22-45 AS Roma 3 - 1 Chievo,2,2822.0,Penalty,2 - 47:02,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2016-2017\2016-12-22 - 22-45 AS Roma 3 - 1 Chievo\Labels-v2.json
2017-03-19 - 14-30 Empoli 2 - 3 Napoli,1,398.0,Penalty,1 - 06:38,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2016-2017\2017-03-19 - 14-30 Empoli 2 - 3 Napoli\Labels-v2.json
2017-03-19 - 14-30 Empoli 2 - 3 Napoli,1,2248.0,Penalty,1 - 37:28,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2016-2017\2017-03-19 - 14-30 Empoli 2 - 3 Napoli\Labels-v2.json
2017-03-19 - 14-30 Empoli 2 - 3 Napoli,2,2199.0,Penalty,2 - 36:39,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2016-2017\2017-03-19 - 14-30 Empoli 2 - 3 Napoli\Labels-v2.json
2015-04-11 - 21-45 Verona 0 - 3 Inter,2,1890.0,Penalty,2 - 31:30,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\italy_serie-a\2014-2015\2015-04-11 - 21-45 Verona 0 - 3 Inter\Labels-v2.json
2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich,1,1209.0,Penalty,1 - 20:09,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\germany_bundesliga\2015-2016\2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich\Labels-v2.json
2015-05-16 - 16-30 Wolfsburg 2 - 1 Dortmund,1,627.0,Penalty,1 - 10:27,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\germany_bundesliga\2014-2015\2015-05-16 - 16-30 Wolfsburg 2 - 1 Dortmund\Labels-v2.json
2015-11-03 - 22-45 Shakhtar Donetsk 4 - 0 Malmo FF,2,140.0,Penalty,2 - 02:20,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\europe_uefa-champions-league\2015-2016\2015-11-03 - 22-45 Shakhtar Donetsk 4 - 0 Malmo FF\Labels-v2.json
2015-03-11 - 22-45 Bayern Munich 7 - 0 Shakhtar Donetsk,1,209.0,Penalty,1 - 03:29,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\europe_uefa-champions-league\2014-2015\2015-03-11 - 22-45 Bayern Munich 7 - 0 Shakhtar Donetsk\Labels-v2.json
2017-01-15 - 19-00 Manchester United 1 - 1 Liverpool,1,1596.0,Penalty,1 - 26:36,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\england_epl\2016-2017\2017-01-15 - 19-00 Manchester United 1 - 1 Liverpool\Labels-v2.json
2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,1,783.0,Penalty,1 - 13:03,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\england_epl\2015-2016\2015-08-23 - 15-30 West Brom 2 - 3 Chelsea\Labels-v2.json
2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland,2,254.0,Penalty,2 - 04:14,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\england_epl\2015-2016\2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland\Labels-v2.json
